RA_ICRS,DE_ICRS,ra_error,dec_error,Plx,parallax_error,pmRA,pmra_error,pmDE,pmdec_error,Gmag,BP_RP,r_est,r_lo,r_hi
124.78867760191154,-38.28559899596987,0.5130628057667371,0.6704878200192786,0.7709713431036768,0.8083525402335402,-0.2794836966957655,1.08694987677987,1.834029213734809,1.2671730146190678,20.513014000000002,1.7615490000000003,2371.79093481385,1045.14322109325,4821.20124651865
124.8092296430826,-38.312131600744216,0.19179144847963367,0.2433178592147135,0.03008794755946934,0.2886708775813754,-2.413368366149993,0.4169464459362306,4.23075356924398,0.4206496690878088,19.16282,1.6630401999999997,3653.5775133444104,2217.25956768362,6086.936789303029
124.80654582264265,-38.31853074344548,0.6519690412058925,0.9326692741262018,-1.2224037337971996,1.0715681661635144,-2.5384389869866,1.300077616408787,5.770200567296758,2.123875975746961,20.704527,1.5964642,3246.9036901828304,1686.40207151696,5784.24992246104
124.80415738156624,-38.31001574053472,0.27660512749464744,0.3450589201014845,0.91872834169026,0.4218568645181715,-1.950687907802603,0.6033817783607365,3.773619647027597,0.5947192772907406,19.700533,1.8332728999999999,1412.8269369666,789.732864385899,3498.3326703020803
124.81687819756307,-38.318651867166665,0.3873856091119315,0.5296944317462491,0.2610220517397641,0.6013806571326451,-1.7904385828731468,0.8476681354796788,3.1044660604091128,0.8510281533709698,20.19059,1.8154144,2792.08167125133,1421.3364733953,5221.875193504221
124.8083971101616,-38.30707901604287,0.08631871611453333,0.10484824604765212,0.07751886723914952,0.12627248145934294,-2.630244846764545,0.18787173072003915,4.009459277073956,0.18816132639635524,17.922283,1.5054436000000002,4662.29878320034,3234.06941114537,6984.07423995582
124.79597343148941,-38.30130381183113,0.3921818171886761,0.5319215532528452,-0.28838260550853806,0.6362269258070561,-3.769632750363682,0.8650820029954022,5.138896017635759,0.9358601037038896,20.198769,1.9425163,3277.2788748112102,1768.6942066012,5777.502178582571
124.79930916969587,-38.3090517695889,0.1250989039333026,0.15646589782944426,-0.00980358149966443,0.18820316222696173,-1.7464549358931736,0.2793004756568513,2.0156097153302253,0.2970434901940653,18.323103,1.7528706000000003,4458.09528514235,2930.53248708365,6919.38954854244
124.82415607356444,-38.32280769219675,0.022683552446038004,0.023939065650023444,1.6315307995500812,0.03146804335720607,0.7903952612519451,0.04764007147028723,9.2614574311496,0.042743231461387525,11.884456,0.74636555,602.553471496185,591.252578649586,614.2867143722619
124.81680557578363,-38.32242076396686,0.06555323400056665,0.07402287923776704,0.4618890210075016,0.09393258806819232,-5.416681796073762,0.1413960350543082,3.9014269869291933,0.131883409998124,17.437447,1.4173985,2073.05701335325,1704.4347846386902,2630.08552861451
